time,adaptivity_time,dt,memory,num_elems,num_past_events,reinit_solutions_time,reinit_systems_time,sink_average,sink_integral,sink_rate_average,solution_average,solution_integral,solve_time,total_time
0,0,0,2649772032,42709,0,0,0,0,0,0,0,0,0,0
0.001,0.428016,0.001,2899439616,42709,0,0.481852,0.007728,0.89999999980877,0.89999999980877,0.0048131410658742,2.9999951863085,2.9999951863085,0.133986,2.192302
0.003,0.430756,0.002,2934042624,42709,1,0.481852,0.007728,0.89999999980877,0.89999999980877,0.10473941991252,2.9997857074681,2.9997857074681,0.253745,2.393371
0.007,0.903124,0.004,2958372864,41344,1,1.142996,0.016037,0.89999999980876,0.89999999980877,0.59457967299621,2.9960629385915,2.9960629385915,0.374549,3.862316
0.011927746335929,0.905805,0.0049277463359289,2959994880,41344,1,1.142996,0.016037,0.89999999980876,0.89999999980877,1.2071885749828,2.9901142195146,2.9901142195147,0.495654,4.051462
0.012927746335929,1.330427,0.001,2970267648,42691,2,1.660801,0.023789,0.89999999980877,0.89999999980877,1.3283222957411,5.9887858965186,5.9887858965187,0.627728,5.356036
0.014927746335929,1.801763,0.002,2976755712,41344,2,2.339204,0.032085,0.89999999980876,0.89999999980877,1.5396139904615,5.9840199492496,5.9840199492497,0.746573,6.841899
0.018829794704221,1.804428,0.0039020483682921,2977296384,41344,2,2.339204,0.032085,0.89999999980876,0.89999999980877,1.8190955483193,5.9769217504329,5.976921750433,0.86804,7.031511
0.019829794704221,2.228657,0.001,2981081088,42703,3,2.900427,0.040136,0.89999999980877,0.89999999980877,1.8822080753967,8.9750395417983,8.9750395417984,1.00472,8.387029
0.021829794704221,2.700893,0.002,2981892096,41344,3,3.601107,0.048405,0.89999999980876,0.89999999980877,1.981669016831,8.9694204019355,8.9694204019356,1.123811,9.899228
0.025829794704221,2.703617,0.004,2982162432,41344,3,3.601107,0.048405,0.89999999980876,0.89999999980877,2.1421350950731,8.9608518615543,8.9608518615544,1.244067,10.087602
0.033829794704221,2.706285,0.008,2982162432,41344,3,3.601107,0.048405,0.89999999980876,0.89999999980877,2.4470465301028,8.9412754893135,8.9412754893136,1.36752,10.279572
0.043524982842078,2.708979,0.0096951881378572,2982432768,41344,3,3.601107,0.048405,0.89999999980876,0.89999999980877,2.7448119870216,8.9146640206962,8.9146640206963,1.49159,10.471712
0.044524982842078,3.131878,0.001,2984325120,42502,4,4.129531,0.056298,0.89999999984724,0.89999999984724,8.0304825593461,11.906633537687,11.906633537687,1.618883,11.784483
0.046524982842078,3.601424,0.002,2986217472,41356,4,4.73769,0.064107,0.89999999982543,0.89999999982544,15.079087815663,11.874242451346,11.874242451347,1.738888,13.202046
0.050524982842078,3.604082,0.004,2986217472,41356,4,4.73769,0.064107,0.89999999982543,0.89999999982544,15.979428609441,11.810324736908,11.810324736909,1.859144,13.39175
