cpus,reinit_solutions,reinit_systems,adaptivity,solve,other,total
1,10.335005000000001,0.28676799999999997,1.341016,8.6725309999999993,5.7701859999999989,26.405505999999999
2,8.3221080000000001,0.15146500000000002,2.5831490000000001,4.8718360000000001,3.4063990000000004,19.334956999999999
4,6.7829420000000002,0.081797999999999996,2.6936459999999998,2.7532369999999999,2.1664160000000008,14.478039000000001
8,5.7227610000000002,0.047710000000000002,2.8538810000000003,1.7343740000000001,1.6043920000000003,11.963118
16,4.9285309999999996,0.032909000000000001,3.3395480000000002,1.260292,1.3705929999999995,10.931873
32,4.5047040000000003,0.024084000000000001,4.2270669999999999,1.244753,1.3903690000000009,11.390977000000001
