cpus,reinit,adaptivity,solve,other,total
1,3.2151578817254956e-317,3.2151578817254956e-317,9.4766580000000005,22.955210000000001,32.431868000000001
2,3.2151578817254956e-317,3.2151578817254956e-317,5.1960559999999996,18.991086000000003,24.187142000000001
4,3.2151578817254956e-317,3.2151578817254956e-317,2.9549919999999998,15.755672000000001,18.710664000000001
8,3.2151578817254956e-317,3.2151578817254956e-317,1.8535650000000001,14.039669,15.893234
16,3.2151578817254956e-317,3.2151578817254956e-317,1.3360129999999999,13.907133,15.243145999999999
32,3.2151578817254956e-317,3.2151578817254956e-317,1.3449200000000001,14.964340999999999,16.309260999999999
