cpus,reinit,adaptivity,solve,other,total
1,3.2151578817254956e-317,3.2151578817254956e-317,16.641863000000001,25.899456000000001,42.541319000000001
2,3.2151578817254956e-317,3.2151578817254956e-317,9.2750350000000008,19.510407999999998,28.785443000000001
4,3.2151578817254956e-317,3.2151578817254956e-317,5.1069239999999994,15.236558000000002,20.343482000000002
8,3.2151578817254956e-317,3.2151578817254956e-317,2.9721790000000001,13.109166999999999,16.081346
16,3.2151578817254956e-317,3.2151578817254956e-317,1.8849880000000001,12.407062,14.29205
32,3.2151578817254956e-317,3.2151578817254956e-317,1.6628669999999999,12.505001999999999,14.167869
