cpus,reinit_solutions,reinit_systems,adaptivity,solve,other,total
1,13.022359,1.3601049999999999,1.4962759999999999,16.512325000000001,10.592968000000003,42.984033000000004
2,9.7732989999999997,0.71243299999999998,3.3551519999999995,9.1315749999999998,6.0082610000000036,28.980720000000002
4,7.8091479999999995,0.38138899999999998,3.4926750000000002,5.0494589999999997,3.6851850000000037,20.417856
8,6.705813,0.21486100000000002,3.6812580000000001,2.9562740000000001,2.5936459999999979,16.151851999999998
16,6.2281979999999999,0.13400300000000001,3.9755309999999997,1.8539939999999999,2.0831479999999987,14.274873999999999
32,5.7621919999999998,0.093770000000000006,4.6263740000000002,1.6615090000000001,2.0111079999999983,14.154952999999999
