time,adaptivity_time,dt,memory,num_elems,num_past_events,reinit_solutions_time,reinit_systems_time,sink_average,sink_integral,sink_rate_average,solution_average,solution_integral,solve_time,total_time
0,0,0,2648969216,42709,0,0,0,0,0,0,0,0,0,0
0.001,0.418383,0.001,2897555456,42709,0,0.464083,0.007703,0.89999999980877,0.89999999980877,0.0048131410658742,2.9999951863085,2.9999951863085,0.13339,2.147039
0.003,0.420986,0.002,2932699136,42709,1,0.464083,0.007703,0.89999999980877,0.89999999980877,0.10473941991252,2.9997857074681,2.9997857074681,0.251989,2.345818
0.007,0.8838,0.004,2955948032,41344,1,1.099214,0.016151,0.89999999980876,0.89999999980877,0.59457967299621,2.9960629385915,2.9960629385915,0.371497,3.77581
0.011927746335929,0.886274,0.0049277463359289,2957029376,41344,1,1.099214,0.016151,0.89999999980876,0.89999999980877,1.2071885749828,2.9901142195146,2.9901142195147,0.491198,3.962085
0.012927746335929,1.30658,0.001,2970275840,42691,2,1.594902,0.023752,0.89999999980877,0.89999999980877,1.3283222957411,5.9887858965186,5.9887858965187,0.62184,5.235798
0.014927746335929,1.766048,0.002,2973519872,41344,2,2.250553,0.03152,0.89999999980876,0.89999999980877,1.5396139904615,5.9840199492496,5.9840199492497,0.7401,6.682517
0.018829794704221,1.768528,0.0039020483682921,2973790208,41344,2,2.250553,0.03152,0.89999999980876,0.89999999980877,1.8190955483193,5.9769217504329,5.976921750433,0.860302,6.869689
0.019829794704221,2.185234,0.001,2978115584,42703,3,2.787984,0.039648,0.89999999980877,0.89999999980877,1.8822080753967,8.9750395417983,8.9750395417984,0.994469,8.189705
0.021829794704221,2.643853,0.002,2979737600,41344,3,3.467764,0.047163,0.89999999980876,0.89999999980877,1.981669016831,8.9694204019355,8.9694204019356,1.112979,9.663356
0.025829794704221,2.64632,0.004,2979737600,41344,3,3.467764,0.047163,0.89999999980876,0.89999999980877,2.1421350950731,8.9608518615543,8.9608518615544,1.232283,9.849556
0.033829794704221,2.648784,0.008,2979737600,41344,3,3.467764,0.047163,0.89999999980876,0.89999999980877,2.4470465301028,8.9412754893135,8.9412754893136,1.35478,10.03892
0.043524982842078,2.651263,0.0096951881378572,2979737600,41344,3,3.467764,0.047163,0.89999999980876,0.89999999980877,2.7448119870216,8.9146640206962,8.9146640206963,1.477803,10.228756
0.044524982842078,3.06548,0.001,2981629952,42502,4,3.97264,0.054933,0.89999999984724,0.89999999984724,8.0304825593461,11.906633537687,11.906633537687,1.602989,11.504549
0.046524982842078,3.522992,0.002,2982170624,41356,4,4.557474,0.062545,0.89999999982543,0.89999999982544,15.079087815663,11.874242451346,11.874242451347,1.720532,12.882082
0.050524982842078,3.525519,0.004,2982170624,41356,4,4.557474,0.062545,0.89999999982543,0.89999999982544,15.979428609441,11.810324736908,11.810324736909,1.839069,13.068261
0.056959445267338,3.528069,0.0064344624252601,2982170624,41356,4,4.557474,0.062545,0.89999999982543,0.89999999982544,12.885846384629,11.72741124253,11.72741124253,1.959404,13.256269
0.057959445267338,3.945961,0.001,2984873984,42718,5,5.091212,0.070473,0.89999999982543,0.89999999982544,12.371152416545,14.715040089551,14.715040089551,2.089226,14.573833
0.05922400721669,4.406318,0.0012645619493515,2986225664,41356,5,5.69732,0.077935,0.89999999982543,0.89999999982544,11.739419120038,14.698530540465,14.698530540465,2.205624,15.977097
0.06022400721669,4.825324,0.001,2989199360,42718,6,6.240802,0.085999,0.89999999982543,0.89999999982544,11.310515993372,17.687220023891,17.687220023891,2.328905,17.300525
0.061413763393971,5.285757,0.0011897561772811,2991091712,41356,6,6.779222,0.093502,0.89999999982543,0.89999999982544,10.985677059746,17.672477010241,17.672477010241,2.444985,18.637368
0.062413763393971,5.70315,0.001,2992713728,42721,7,7.310373,0.101399,0.89999999982543,0.89999999982544,10.854810156509,20.661622199547,20.661622199547,2.57275,19.952905
0.064413763393971,6.164313,0.002,2994606080,41356,7,7.871263,0.108905,0.89999999982543,0.89999999982544,10.902430108401,20.638150242851,20.638150242852,2.690753,21.317402
0.068413763393971,6.166807,0.004,2994606080,41356,7,7.871263,0.108905,0.89999999982543,0.89999999982544,11.002635642434,20.594139700283,20.594139700283,2.809604,21.503898
0.076413763393971,6.169326,0.008,2994606080,41356,7,7.871263,0.108905,0.89999999982543,0.89999999982544,10.4927453517,20.51019773747,20.510197737471,2.93015,21.692032
0.092413763393971,6.171797,0.016,2994876416,41356,7,7.871263,0.108905,0.89999999982543,0.89999999982544,9.1869313573878,20.363206835752,20.363206835752,3.051152,21.880822
0.10290916224756,6.174298,0.010495398853593,2994876416,41356,7,7.871263,0.108905,0.89999999982543,0.89999999982544,8.4745597332326,20.274262951243,20.274262951243,3.171525,22.068738
0.10390916224756,6.592299,0.001,2995146752,42712,8,8.396639,0.116904,0.89999999982543,0.89999999982544,8.4081812469895,23.26585476939,23.265854769391,3.299652,23.38307
0.10590916224756,7.054085,0.002,2996768768,41356,8,9.047777,0.124452,0.89999999982543,0.89999999982544,8.2822825143557,23.247558479945,23.247558479945,3.417546,24.84201
0.10990916224756,7.056569,0.004,2996768768,41356,8,9.047777,0.124452,0.89999999982543,0.89999999982544,8.060235557952,23.215317537714,23.215317537715,3.536382,25.02824
0.11790916224756,7.059035,0.008,2996768768,41356,8,9.047777,0.124452,0.89999999982543,0.89999999982544,7.7335888724969,23.153448826734,23.153448826735,3.657662,25.216825
0.13390916224756,7.061561,0.016,2996768768,41356,8,9.047777,0.124452,0.89999999982543,0.89999999982544,7.4069693962989,23.034937316393,23.034937316394,3.778656,25.40522
