cpus,reinit_solutions,reinit_systems,adaptivity,solve,other,total
1,13.020160000000001,1.3590719999999998,1.496162,16.423853000000001,10.549771000000002,42.849018000000001
2,9.7700659999999999,0.70857599999999998,3.3547569999999998,9.1865320000000015,6.0136059999999967,29.033536999999999
4,7.8096929999999993,0.38129400000000002,3.4937429999999998,5.0345870000000001,3.6783950000000005,20.397711999999999
8,6.6988779999999997,0.21532199999999999,3.6861650000000004,2.9390450000000001,2.5860040000000022,16.125414000000003
16,6.2376360000000002,0.13448800000000002,3.9649919999999996,1.8631979999999999,2.1099409999999983,14.310254999999998
32,5.7804519999999995,0.095028000000000001,4.6497250000000001,1.6627369999999999,2.010372000000002,14.198314000000002
