cpus,reinit_solutions,reinit_systems,adaptivity,solve,other,total
1,10.324036,0.95832800000000007,1.34352,8.7273949999999996,5.7689429999999948,27.122221999999997
2,8.3075460000000003,0.50787700000000002,2.5820759999999998,4.8323980000000004,3.4019039999999969,19.631800999999999
4,6.7468179999999993,0.27483099999999999,2.6987950000000001,2.7562990000000003,2.1777070000000007,14.654450000000001
8,5.6955650000000002,0.16039999999999999,2.8723589999999999,1.7354470000000002,1.6152879999999987,12.079058999999999
16,4.9059330000000001,0.10853900000000001,3.3464320000000001,1.25505,1.3565359999999989,10.972489999999999
32,4.4877289999999999,0.081475000000000006,4.2280540000000002,1.2539280000000002,1.3859819999999996,11.437168
