cpus,reinit_solutions,reinit_systems,adaptivity,solve,other,total
1,13.248491,1.3848860000000001,2.293005,9.3172320000000006,6.9140999999999977,33.157713999999999
2,10.542643,0.72162099999999996,4.0138730000000002,5.127192,4.155786,24.561115000000001
4,8.657368,0.39079899999999995,4.1746699999999999,2.9260450000000002,2.7644519999999999,18.913333999999999
8,7.444821000000001,0.231541,4.4220280000000001,1.8505349999999998,2.1432319999999976,16.092157
16,6.7839869999999998,0.156721,5.1715230000000005,1.328819,1.8736660000000009,15.314716000000001
32,6.5451410000000001,0.120626,6.4460850000000001,1.350014,1.9110640000000003,16.37293
