cpus,reinit,adaptivity,solve,other,total
1,3.2151578817254956e-317,3.2151578817254956e-317,52.596481999999995,46.349567000000008,98.946049000000002
2,3.2151578817254956e-317,3.2151578817254956e-317,28.138728000000004,31.206871999999994,59.345599999999997
4,3.2151578817254956e-317,3.2151578817254956e-317,14.580426999999998,21.964860999999999,36.545287999999999
8,3.2151578817254956e-317,3.2151578817254956e-317,7.9206500000000002,18.036710999999997,25.957360999999999
16,3.2151578817254956e-317,3.2151578817254956e-317,4.515924,16.952435000000001,21.468359
32,3.2151578817254956e-317,3.2151578817254956e-317,3.3474080000000002,16.543030999999999,19.890439000000001
