time,adaptivity_time,dt,memory,num_elems,num_past_events,reinit_time,sink_average,sink_integral,sink_rate_average,solution_average,solution_integral,solve_time,total_time
0,0,0,2648576000,42709,0,0,0,0,0,0,0,0,0
0.001,3.2151578817255e-317,0.001,2897432576,42709,0,3.2151578817255e-317,0.89999999980877,0.89999999980877,0.0048131410658742,2.9999951863085,2.9999951863085,0.134918,2.159139
0.003,3.2151578817255e-317,0.002,2932305920,42709,1,3.2151578817255e-317,0.89999999980877,0.89999999980877,0.10473941991252,2.9997857074681,2.9997857074681,0.255386,2.361668
0.007,3.2151578817255e-317,0.004,2956095488,41344,1,3.2151578817255e-317,0.89999999980876,0.89999999980877,0.59457967299621,2.9960629385915,2.9960629385915,0.377322,3.794272
0.011927746335929,3.2151578817255e-317,0.0049277463359289,2957447168,41344,1,3.2151578817255e-317,0.89999999980876,0.89999999980877,1.2071885749828,2.9901142195146,2.9901142195147,0.499707,3.98595
0.012927746335929,3.2151578817255e-317,0.001,2969612288,42691,2,3.2151578817255e-317,0.89999999980877,0.89999999980877,1.3283222957411,5.9887858965186,5.9887858965187,0.633067,5.260941
0.014927746335929,3.2151578817255e-317,0.002,2972585984,41344,2,3.2151578817255e-317,0.89999999980876,0.89999999980877,1.5396139904615,5.9840199492496,5.9840199492497,0.753761,6.712409
0.018829794704221,3.2151578817255e-317,0.0039020483682921,2973396992,41344,2,3.2151578817255e-317,0.89999999980876,0.89999999980877,1.8190955483193,5.9769217504329,5.976921750433,0.876029,6.903793
0.019829794704221,3.2151578817255e-317,0.001,2977452032,42703,3,3.2151578817255e-317,0.89999999980877,0.89999999980877,1.8822080753967,8.9750395417983,8.9750395417984,1.011868,8.227374
0.021829794704221,3.2151578817255e-317,0.002,2979614720,41344,3,3.2151578817255e-317,0.89999999980876,0.89999999980877,1.981669016831,8.9694204019355,8.9694204019356,1.132458,9.707387
0.025829794704221,3.2151578817255e-317,0.004,2979614720,41344,3,3.2151578817255e-317,0.89999999980876,0.89999999980877,2.1421350950731,8.9608518615543,8.9608518615544,1.253276,9.897146
0.033829794704221,3.2151578817255e-317,0.008,2979614720,41344,3,3.2151578817255e-317,0.89999999980876,0.89999999980877,2.4470465301028,8.9412754893135,8.9412754893136,1.377794,10.09048
0.043524982842078,3.2151578817255e-317,0.0096951881378572,2979614720,41344,3,3.2151578817255e-317,0.89999999980876,0.89999999980877,2.7448119870216,8.9146640206962,8.9146640206963,1.50295,10.284576
0.044524982842078,3.2151578817255e-317,0.001,2980425728,42502,4,3.2151578817255e-317,0.89999999984724,0.89999999984724,8.0304825593461,11.906633537687,11.906633537687,1.630598,11.566953
0.046524982842078,3.2151578817255e-317,0.002,2983399424,41356,4,3.2151578817255e-317,0.89999999982543,0.89999999982544,15.079087815663,11.874242451346,11.874242451347,1.750303,12.953663
0.050524982842078,3.2151578817255e-317,0.004,2983669760,41356,4,3.2151578817255e-317,0.89999999982543,0.89999999982544,15.979428609441,11.810324736908,11.810324736909,1.87132,13.143686
0.056959445267338,3.2151578817255e-317,0.0064344624252601,2983669760,41356,4,3.2151578817255e-317,0.89999999982543,0.89999999982544,12.885846384629,11.72741124253,11.72741124253,1.994034,13.336012
0.057959445267338,3.2151578817255e-317,0.001,2985291776,42718,5,3.2151578817255e-317,0.89999999982543,0.89999999982544,12.371152416545,14.715040089551,14.715040089551,2.125649,14.658042
0.05922400721669,3.2151578817255e-317,0.0012645619493515,2987454464,41356,5,3.2151578817255e-317,0.89999999982543,0.89999999982544,11.739419120038,14.698530540465,14.698530540465,2.244253,16.067928
0.06022400721669,3.2151578817255e-317,0.001,2989346816,42718,6,3.2151578817255e-317,0.89999999982543,0.89999999982544,11.310515993372,17.687220023891,17.687220023891,2.370076,17.395649
0.061413763393971,3.2151578817255e-317,0.0011897561772811,2991779840,41356,6,3.2151578817255e-317,0.89999999982543,0.89999999982544,10.985677059746,17.672477010241,17.672477010241,2.488565,18.737906
0.062413763393971,3.2151578817255e-317,0.001,2993401856,42721,7,3.2151578817255e-317,0.89999999982543,0.89999999982544,10.854810156509,20.661622199547,20.661622199547,2.620442,20.058097
0.064413763393971,3.2151578817255e-317,0.002,2995564544,41356,7,3.2151578817255e-317,0.89999999982543,0.89999999982544,10.902430108401,20.638150242851,20.638150242852,2.741206,21.429904
0.068413763393971,3.2151578817255e-317,0.004,2995564544,41356,7,3.2151578817255e-317,0.89999999982543,0.89999999982544,11.002635642434,20.594139700283,20.594139700283,2.862888,21.621352
0.076413763393971,3.2151578817255e-317,0.008,2995564544,41356,7,3.2151578817255e-317,0.89999999982543,0.89999999982544,10.4927453517,20.51019773747,20.510197737471,2.985262,21.81278
0.092413763393971,3.2151578817255e-317,0.016,2995564544,41356,7,3.2151578817255e-317,0.89999999982543,0.89999999982544,9.1869313573878,20.363206835752,20.363206835752,3.1086,22.005506
0.10290916224756,3.2151578817255e-317,0.010495398853593,2995564544,41356,7,3.2151578817255e-317,0.89999999982543,0.89999999982544,8.4745597332326,20.274262951243,20.274262951243,3.232069,22.198576
0.10390916224756,3.2151578817255e-317,0.001,2995834880,42712,8,3.2151578817255e-317,0.89999999982543,0.89999999982544,8.4081812469895,23.26585476939,23.265854769391,3.362296,23.51973
0.10590916224756,3.2151578817255e-317,0.002,2997997568,41356,8,3.2151578817255e-317,0.89999999982543,0.89999999982544,8.2822825143557,23.247558479945,23.247558479945,3.483243,24.989461
