cpus,reinit,adaptivity,solve,other,total
1,3.2151578817254956e-317,3.2151578817254956e-317,16.644876999999997,25.850994000000004,42.495871000000001
2,3.2151578817254956e-317,3.2151578817254956e-317,9.2431729999999988,19.513380000000005,28.756553000000004
4,3.2151578817254956e-317,3.2151578817254956e-317,5.1249419999999999,15.231487000000001,20.356429000000002
8,3.2151578817254956e-317,3.2151578817254956e-317,2.9726590000000002,13.132880999999998,16.105539999999998
16,3.2151578817254956e-317,3.2151578817254956e-317,1.8828900000000002,12.443123,14.326013
32,3.2151578817254956e-317,3.2151578817254956e-317,1.665548,12.472417,14.137964999999999
