cpus,reinit,adaptivity,solve,other,total
1,3.2151578817254956e-317,3.2151578817254956e-317,16.641851000000003,26.480848999999999,43.122700000000002
2,3.2151578817254956e-317,3.2151578817254956e-317,9.4254499999999997,19.924504999999996,29.349954999999998
4,3.2151578817254956e-317,3.2151578817254956e-317,5.0538749999999997,15.505272,20.559146999999999
8,3.2151578817254956e-317,3.2151578817254956e-317,2.9533650000000002,13.317120000000001,16.270485000000001
16,3.2151578817254956e-317,3.2151578817254956e-317,1.8701509999999999,12.627523999999999,14.497674999999999
32,3.2151578817254956e-317,3.2151578817254956e-317,1.6499529999999998,12.715601000000001,14.365554000000001
