cpus,reinit,adaptivity,solve,other,total
1,3.2151578817254956e-317,3.2151578817254956e-317,52.243487000000002,46.173081999999994,98.416568999999996
2,3.2151578817254956e-317,3.2151578817254956e-317,27.862068000000001,31.161162000000004,59.023230000000005
4,3.2151578817254956e-317,3.2151578817254956e-317,14.597113,22.087901000000002,36.685014000000002
8,3.2151578817254956e-317,3.2151578817254956e-317,7.8925419999999997,18.181245000000001,26.073786999999999
16,3.2151578817254956e-317,3.2151578817254956e-317,4.4941469999999999,17.287748000000001,21.781895000000002
32,3.2151578817254956e-317,3.2151578817254956e-317,3.3149349999999997,17.022686,20.337620999999999
