cpus,reinit,adaptivity,solve,other,total
1,3.2151578817254956e-317,3.2151578817254956e-317,16.616444000000001,26.548761999999996,43.165205999999998
2,3.2151578817254956e-317,3.2151578817254956e-317,9.2424770000000009,19.946736999999999,29.189214
4,3.2151578817254956e-317,3.2151578817254956e-317,5.0608919999999999,15.465586000000002,20.526478000000001
8,3.2151578817254956e-317,3.2151578817254956e-317,2.9534380000000002,13.235238999999998,16.188676999999998
16,3.2151578817254956e-317,3.2151578817254956e-317,1.8776810000000002,12.543851999999998,14.421532999999998
32,3.2151578817254956e-317,3.2151578817254956e-317,1.670261,12.670692000000001,14.340953000000001
