cpus,reinit,adaptivity,solve,other,total
1,3.2151578817254956e-317,3.2151578817254956e-317,9.421028999999999,23.983257999999999,33.404286999999997
2,3.2151578817254956e-317,3.2151578817254956e-317,5.192984,19.579750000000001,24.772734
4,3.2151578817254956e-317,3.2151578817254956e-317,2.9254119999999997,16.101142000000003,19.026554000000001
8,3.2151578817254956e-317,3.2151578817254956e-317,1.837995,14.284609,16.122603999999999
16,3.2151578817254956e-317,3.2151578817254956e-317,1.346025,14.105269,15.451294000000001
32,3.2151578817254956e-317,3.2151578817254956e-317,1.3601620000000001,15.153415999999998,16.513577999999999
