time,adaptivity_time,dt,memory,num_elems,num_past_events,reinit_time,sink_average,sink_integral,sink_rate_average,solution_average,solution_integral,solve_time,total_time
0,0,0,2646945792,42709,0,0,0,0,0,0,0,0,0
0.001,3.2151578817255e-317,0.001,2896613376,42709,0,3.2151578817255e-317,0.89999999980877,0.89999999980877,0.0048131410658742,2.9999951863085,2.9999951863085,0.134116,2.20132
0.003,3.2151578817255e-317,0.002,2931486720,42709,1,3.2151578817255e-317,0.89999999980877,0.89999999980877,0.10473941991252,2.9997857074681,2.9997857074681,0.262691,2.413173
0.007,3.2151578817255e-317,0.004,2954735616,41344,1,3.2151578817255e-317,0.89999999980876,0.89999999980877,0.59457967299621,2.9960629385915,2.9960629385915,0.383279,3.882666
0.011927746335929,3.2151578817255e-317,0.0049277463359289,2955546624,41344,1,3.2151578817255e-317,0.89999999980876,0.89999999980877,1.2071885749828,2.9901142195146,2.9901142195147,0.504128,4.073181
0.012927746335929,3.2151578817255e-317,0.001,2969604096,42691,2,3.2151578817255e-317,0.89999999980877,0.89999999980877,1.3283222957411,5.9887858965186,5.9887858965187,0.63641,5.386466
0.014927746335929,3.2151578817255e-317,0.002,2972577792,41344,2,3.2151578817255e-317,0.89999999980876,0.89999999980877,1.5396139904615,5.9840199492496,5.9840199492497,0.755827,6.870369
0.018829794704221,3.2151578817255e-317,0.0039020483682921,2972577792,41344,2,3.2151578817255e-317,0.89999999980876,0.89999999980877,1.8190955483193,5.9769217504329,5.976921750433,0.876539,7.060389
0.019829794704221,3.2151578817255e-317,0.001,2976092160,42703,3,3.2151578817255e-317,0.89999999980877,0.89999999980877,1.8822080753967,8.9750395417983,8.9750395417984,1.018758,8.418477
0.021829794704221,3.2151578817255e-317,0.002,2978254848,41344,3,3.2151578817255e-317,0.89999999980876,0.89999999980877,1.981669016831,8.9694204019355,8.9694204019356,1.137694,9.92807
0.025829794704221,3.2151578817255e-317,0.004,2978525184,41344,3,3.2151578817255e-317,0.89999999980876,0.89999999980877,2.1421350950731,8.9608518615543,8.9608518615544,1.257063,10.116844
0.033829794704221,3.2151578817255e-317,0.008,2978525184,41344,3,3.2151578817255e-317,0.89999999980876,0.89999999980877,2.4470465301028,8.9412754893135,8.9412754893136,1.379905,10.308434
0.043524982842078,3.2151578817255e-317,0.0096951881378572,2978525184,41344,3,3.2151578817255e-317,0.89999999980876,0.89999999980877,2.7448119870216,8.9146640206962,8.9146640206963,1.516077,10.522343
0.044524982842078,3.2151578817255e-317,0.001,2980147200,42502,4,3.2151578817255e-317,0.89999999984724,0.89999999984724,8.0304825593461,11.906633537687,11.906633537687,1.643893,11.833551
0.046524982842078,3.2151578817255e-317,0.002,2981498880,41356,4,3.2151578817255e-317,0.89999999982543,0.89999999982544,15.079087815663,11.874242451346,11.874242451347,1.76215,13.248149
0.050524982842078,3.2151578817255e-317,0.004,2981498880,41356,4,3.2151578817255e-317,0.89999999982543,0.89999999982544,15.979428609441,11.810324736908,11.810324736909,1.881461,13.437102
0.056959445267338,3.2151578817255e-317,0.0064344624252601,2981498880,41356,4,3.2151578817255e-317,0.89999999982543,0.89999999982544,12.885846384629,11.72741124253,11.72741124253,2.002728,13.627835
0.057959445267338,3.2151578817255e-317,0.001,2983661568,42718,5,3.2151578817255e-317,0.89999999982543,0.89999999982544,12.371152416545,14.715040089551,14.715040089551,2.132646,14.976879
0.05922400721669,3.2151578817255e-317,0.0012645619493515,2985013248,41356,5,3.2151578817255e-317,0.89999999982543,0.89999999982544,11.739419120038,14.698530540465,14.698530540465,2.249387,16.41367
0.06022400721669,3.2151578817255e-317,0.001,2987716608,42718,6,3.2151578817255e-317,0.89999999982543,0.89999999982544,11.310515993372,17.687220023891,17.687220023891,2.374691,17.774519
0.061413763393971,3.2151578817255e-317,0.0011897561772811,2990690304,41356,6,3.2151578817255e-317,0.89999999982543,0.89999999982544,10.985677059746,17.672477010241,17.672477010241,2.491354,19.147647
0.062413763393971,3.2151578817255e-317,0.001,2992312320,42721,7,3.2151578817255e-317,0.89999999982543,0.89999999982544,10.854810156509,20.661622199547,20.661622199547,2.62084,20.497261
0.064413763393971,3.2151578817255e-317,0.002,2993934336,41356,7,3.2151578817255e-317,0.89999999982543,0.89999999982544,10.902430108401,20.638150242851,20.638150242852,2.739586,21.897697
0.068413763393971,3.2151578817255e-317,0.004,2993934336,41356,7,3.2151578817255e-317,0.89999999982543,0.89999999982544,11.002635642434,20.594139700283,20.594139700283,2.859297,22.087162
0.076413763393971,3.2151578817255e-317,0.008,2993934336,41356,7,3.2151578817255e-317,0.89999999982543,0.89999999982544,10.4927453517,20.51019773747,20.510197737471,2.979916,22.277441
0.092413763393971,3.2151578817255e-317,0.016,2993934336,41356,7,3.2151578817255e-317,0.89999999982543,0.89999999982544,9.1869313573878,20.363206835752,20.363206835752,3.101498,22.468716
0.10290916224756,3.2151578817255e-317,0.010495398853593,2993934336,41356,7,3.2151578817255e-317,0.89999999982543,0.89999999982544,8.4745597332326,20.274262951243,20.274262951243,3.222904,22.6597
0.10390916224756,3.2151578817255e-317,0.001,2995015680,42712,8,3.2151578817255e-317,0.89999999982543,0.89999999982544,8.4081812469895,23.26585476939,23.265854769391,3.351405,24.00647
0.10590916224756,3.2151578817255e-317,0.002,2996637696,41356,8,3.2151578817255e-317,0.89999999982543,0.89999999982544,8.2822825143557,23.247558479945,23.247558479945,3.470145,25.501831
