cpus,reinit,adaptivity,solve,other,total
1,3.2151578817254956e-317,3.2151578817254956e-317,80.645668999999998,73.429066000000006,154.074735
2,3.2151578817254956e-317,3.2151578817254956e-317,43.112648999999998,49.262728000000003,92.375377
4,3.2151578817254956e-317,3.2151578817254956e-317,22.615410999999998,35.305200999999997,57.920611999999998
8,3.2151578817254956e-317,3.2151578817254956e-317,12.051269,29.667290000000001,41.718558999999999
16,3.2151578817254956e-317,3.2151578817254956e-317,6.6636929999999994,27.791102000000006,34.454795000000004
32,3.2151578817254956e-317,3.2151578817254956e-317,4.821631,26.459288000000001,31.280919000000001
