cpus,reinit_solutions,reinit_systems,adaptivity,solve,other,total
1,14.197770000000002,1.6619820000000001,1.6877900000000001,51.632339999999999,28.608147000000002,97.788029000000009
2,10.489753,0.84461799999999998,4.0519559999999997,27.636576000000002,15.557597000000001,58.580500000000001
4,8.2028940000000006,0.436475,4.215916,14.462679999999999,9.0029270000000015,36.320892000000001
8,7.2302720000000003,0.237182,4.5626120000000006,7.8312570000000008,5.9159269999999964,25.777249999999999
16,7.1842070000000007,0.14851199999999998,5.0148400000000004,4.4628040000000002,4.5038649999999993,21.314228
32,6.8883740000000007,0.10004099999999999,5.4272400000000003,3.3216800000000002,4.1149789999999973,19.852314
