cpus,reinit_solutions,reinit_systems,adaptivity,solve,other,total
1,10.328981000000001,0.95878600000000003,1.3426469999999999,8.6813760000000002,5.7869930000000007,27.098783000000001
2,8.3085789999999999,0.50797099999999995,2.582471,4.8445080000000003,3.3952380000000022,19.638767000000001
4,6.7505579999999998,0.27424399999999999,2.6954189999999998,2.7476380000000002,2.1677490000000001,14.635608
8,5.7090019999999999,0.15989600000000001,2.8629669999999998,1.7433000000000001,1.6158590000000019,12.091024000000001
16,4.9059429999999997,0.108378,3.3445129999999996,1.261082,1.3761210000000004,10.996036999999999
32,4.470936,0.082142999999999994,4.2247589999999997,1.2391920000000001,1.3707069999999997,11.387737
