cpus,reinit,adaptivity,solve,other,total
1,3.2151578817254956e-317,3.2151578817254956e-317,51.846209000000002,46.685177999999993,98.531386999999995
2,3.2151578817254956e-317,3.2151578817254956e-317,27.926000999999999,31.385390000000001,59.311391
4,3.2151578817254956e-317,3.2151578817254956e-317,14.601713,22.055214000000003,36.656927000000003
8,3.2151578817254956e-317,3.2151578817254956e-317,7.8783190000000003,18.033331,25.911650000000002
16,3.2151578817254956e-317,3.2151578817254956e-317,4.4947550000000005,17.267619999999997,21.762374999999999
32,3.2151578817254956e-317,3.2151578817254956e-317,3.3321120000000004,16.975414000000001,20.307525999999999
