cpus,reinit,adaptivity,solve,other,total
1,3.2151578817254956e-317,3.2151578817254956e-317,81.270709999999994,73.638014000000013,154.90872400000001
2,3.2151578817254956e-317,3.2151578817254956e-317,42.924550000000004,49.273502000000001,92.198052000000004
4,3.2151578817254956e-317,3.2151578817254956e-317,22.538584,35.372372000000006,57.910956000000006
8,3.2151578817254956e-317,3.2151578817254956e-317,12.044103999999999,29.707458000000003,41.751562
16,3.2151578817254956e-317,3.2151578817254956e-317,6.6539009999999994,27.809960000000004,34.463861000000001
32,3.2151578817254956e-317,3.2151578817254956e-317,4.8145920000000002,26.516423999999997,31.331015999999998
