cpus,reinit,adaptivity,solve,other,total
1,3.2151578817254956e-317,3.2151578817254956e-317,9.4707929999999987,22.916135000000004,32.386928000000005
2,3.2151578817254956e-317,3.2151578817254956e-317,5.2194320000000003,18.980157000000002,24.199589000000003
4,3.2151578817254956e-317,3.2151578817254956e-317,2.93703,15.725840000000002,18.662870000000002
8,3.2151578817254956e-317,3.2151578817254956e-317,1.8502749999999999,14.041848000000002,15.892123000000002
16,3.2151578817254956e-317,3.2151578817254956e-317,1.3516159999999999,13.912550000000001,15.264166000000001
32,3.2151578817254956e-317,3.2151578817254956e-317,1.341037,14.958954000000002,16.299991000000002
