cpus,reinit,adaptivity,solve,other,total
1,3.2151578817254956e-317,3.2151578817254956e-317,16.547495000000001,25.850876000000003,42.398371000000004
2,3.2151578817254956e-317,3.2151578817254956e-317,9.2693949999999994,19.552152,28.821546999999999
4,3.2151578817254956e-317,3.2151578817254956e-317,5.092625,15.228669000000002,20.321294000000002
8,3.2151578817254956e-317,3.2151578817254956e-317,2.97159,13.109474000000002,16.081064000000001
16,3.2151578817254956e-317,3.2151578817254956e-317,1.878995,12.418584999999998,14.297579999999998
32,3.2151578817254956e-317,3.2151578817254956e-317,1.6667470000000002,12.516985999999998,14.183732999999998
