cpus,reinit_solutions,reinit_systems,adaptivity,solve,other,total
1,13.068566000000001,0.54491699999999998,1.4919260000000001,16.432003999999999,10.56462,42.102032999999999
2,9.7702919999999995,0.28148000000000001,3.3429190000000002,9.1433850000000003,6.0039200000000008,28.541996000000001
4,7.8382860000000001,0.15144000000000002,3.4822839999999995,5.037871,3.6709980000000018,20.180879000000001
8,6.7533919999999998,0.086191000000000004,3.6774629999999999,2.9450529999999997,2.5691020000000004,16.031200999999999
16,6.2743849999999997,0.052534000000000004,3.9701569999999999,1.8785779999999999,2.1345740000000011,14.310228
32,5.8401230000000002,0.037590999999999999,4.654509,1.6695200000000001,2.0476550000000016,14.249398000000001
