cpus,reinit,adaptivity,solve,other,total
1,3.2151578817254956e-317,3.2151578817254956e-317,16.559857000000001,26.574441,43.134298000000001
2,3.2151578817254956e-317,3.2151578817254956e-317,9.2571910000000006,19.963616999999999,29.220808000000002
4,3.2151578817254956e-317,3.2151578817254956e-317,5.1007350000000002,15.454032999999999,20.554767999999999
8,3.2151578817254956e-317,3.2151578817254956e-317,2.9643459999999999,13.241501,16.205846999999999
16,3.2151578817254956e-317,3.2151578817254956e-317,1.8758490000000001,12.539827999999998,14.415676999999999
32,3.2151578817254956e-317,3.2151578817254956e-317,1.6859979999999999,12.634024,14.320022
