cpus,reinit,adaptivity,solve,other,total
1,3.2151578817254956e-317,3.2151578817254956e-317,52.281742000000001,46.863661999999998,99.145403999999999
2,3.2151578817254956e-317,3.2151578817254956e-317,27.845215999999997,31.401479999999996,59.246695999999993
4,3.2151578817254956e-317,3.2151578817254956e-317,14.617432999999998,22.066583999999999,36.684016999999997
8,3.2151578817254956e-317,3.2151578817254956e-317,7.9149649999999996,18.039270999999999,25.954235999999998
16,3.2151578817254956e-317,3.2151578817254956e-317,4.5044729999999999,17.277891,21.782364000000001
32,3.2151578817254956e-317,3.2151578817254956e-317,3.3767680000000002,16.980051000000003,20.356819000000002
