cpus,reinit_solutions,reinit_systems,adaptivity,solve,other,total
1,9.8348420000000001,0.27116200000000001,1.3430569999999999,8.6349800000000005,6.4064949999999978,26.490535999999999
2,8.0042380000000009,0.14412800000000001,2.581305,4.8237930000000002,3.7716309999999997,19.325095000000001
4,6.5158519999999998,0.07739299999999999,2.691954,2.7409750000000002,2.4703180000000007,14.496492000000002
8,5.5278790000000004,0.044617000000000004,2.8610759999999997,1.731536,1.8127640000000003,11.977872
16,4.7815070000000004,0.030807000000000001,3.341682,1.2652490000000001,1.5551609999999993,10.974406
32,4.3614090000000001,0.023573,4.218566,1.237552,1.5309339999999991,11.372033999999999
