cpus,reinit_solutions,reinit_systems,adaptivity,solve,other,total
1,12.770908,0.29206100000000002,2.289323,9.3844700000000003,7.5116440000000022,32.248406000000003
2,10.243102,0.15255299999999999,4.0122499999999999,5.1108789999999997,4.5253529999999964,24.044136999999999
4,8.4504529999999995,0.082214999999999996,4.1583069999999998,2.9095580000000001,3.0318539999999969,18.632386999999998
8,7.273739,0.048763000000000001,4.3950559999999994,1.823115,2.3066300000000002,15.847303
16,6.6444539999999996,0.034415000000000001,5.1553300000000002,1.33405,2.0699740000000029,15.238223000000001
32,6.475244,0.025485000000000001,6.4466239999999999,1.342041,2.1185740000000002,16.407968
