cpus,reinit_solutions,reinit_systems,adaptivity,solve,other,total
1,12.289475999999999,0.51635799999999998,1.4952430000000001,16.421374,11.430049000000002,42.152500000000003
2,9.3013089999999998,0.26783099999999999,3.3504550000000002,9.0763300000000005,6.5504790000000002,28.546403999999999
4,7.4591669999999999,0.14305399999999999,3.492747,4.9994319999999997,4.0806709999999988,20.175070999999999
8,6.4438820000000003,0.081837000000000007,3.6665379999999996,2.9292310000000001,2.8985109999999992,16.019998999999999
16,6.0462829999999999,0.051628999999999994,3.986453,1.8496299999999999,2.3872970000000029,14.321292000000001
32,5.6139510000000001,0.036943999999999998,4.6725940000000001,1.6570470000000002,2.2707810000000013,14.251317000000002
