cpus,reinit,adaptivity,solve,other,total
1,3.2151578817254956e-317,3.2151578817254956e-317,9.4571100000000001,23.947440999999998,33.404550999999998
2,3.2151578817254956e-317,3.2151578817254956e-317,5.1776730000000004,19.584125,24.761798000000002
4,3.2151578817254956e-317,3.2151578817254956e-317,2.9211279999999999,16.121151000000001,19.042279000000001
8,3.2151578817254956e-317,3.2151578817254956e-317,1.8374189999999999,14.360129000000001,16.197548000000001
16,3.2151578817254956e-317,3.2151578817254956e-317,1.348778,14.184892000000001,15.533670000000001
32,3.2151578817254956e-317,3.2151578817254956e-317,1.336935,15.193735,16.530670000000001
