cpus,reinit,adaptivity,solve,other,total
1,3.2151578817254956e-317,3.2151578817254956e-317,8.673214999999999,18.458750000000002,27.131965000000001
2,3.2151578817254956e-317,3.2151578817254956e-317,4.869523,14.894102,19.763625000000001
4,3.2151578817254956e-317,3.2151578817254956e-317,2.7549490000000003,11.992963,14.747911999999999
8,3.2151578817254956e-317,3.2151578817254956e-317,1.7448589999999999,10.460727,12.205586
16,3.2151578817254956e-317,3.2151578817254956e-317,1.2627409999999999,9.8533709999999992,11.116111999999999
32,3.2151578817254956e-317,3.2151578817254956e-317,1.2380200000000001,10.321693,11.559713
