cpus,reinit,adaptivity,solve,other,total
1,3.2151578817254956e-317,3.2151578817254956e-317,80.577264,72.747882999999987,153.32514699999999
2,3.2151578817254956e-317,3.2151578817254956e-317,43.295496999999997,49.180834000000004,92.476331000000002
4,3.2151578817254956e-317,3.2151578817254956e-317,22.566649999999999,35.238931999999991,57.805581999999994
8,3.2151578817254956e-317,3.2151578817254956e-317,12.037330000000001,29.760325999999996,41.797655999999996
16,3.2151578817254956e-317,3.2151578817254956e-317,6.6607229999999999,27.823089,34.483812
32,3.2151578817254956e-317,3.2151578817254956e-317,4.7613779999999997,26.594994999999997,31.356372999999998
